timestamp;wipingCmd;WiperMotorAngle;WiperMotorSpeed;wiperMotorLowSpeedOut;wiperMotorHighSpeedOut;Wiping_HMI_rqst;wiperParkStatusIn;wiperParkStatusOut;wiperMotorLowSpeed;Digital_WiperHi;Digital_WiperLo;bWiperMotorLowSpeed;WiperMotorHighSpeed
0;0;0.000000;0.000000;0;0;0;0;0;0;0;0;0;0
99;;;;;;3;;;;;;;
199;;;;;;;;;;;1;;
299;;;;;;0;;;1;;;;
301;1;;;1;;;;;;;;;
303;;;30.000.000;;;;;;;;;;
305;;0.360000;;;;;;;;;;;
307;;0.720000;;;;;;;;1;;;
309;;1.080.000;;;;;;;;;;;
311;;1.440.000;;;;;;;;;;;
313;;1.800.000;;;5;;;;;;;;5
315;;2.160.000;;;;;;;;;;;
317;;2.520.000;;;;;;;;;;;
319;;2.880.000;;;;;;;;;;;
321;;3.240.000;;;;;;;;;;;
323;;3.600.000;;;;;;;;;;;
325;;3.960.000;;;;;;;;;;;
327;;4.320.000;;;;;;;;;;;
329;;4.680.000;;;;;;;;;;;
331;;5.040.000;;;;;;;;;;;
333;;5.400.000;;;;;;;;;;;
335;;5.760.000;;;;;;;;;;;
337;;6.120.000;;;;;;;;;;;
339;;6.480.000;;;;;;;;;;;
341;;6.840.000;;;;;;;;;;;
343;;7.200.000;;;;;;;;;;;
345;;7.560.000;;;;;;;;;;;
347;;7.920.000;;;;;;;;;;;
349;;8.280.000;;;;;;;;;;;
351;;8.640.000;;;;;;;;;;;
353;;9.000.000;;;;;;;;;;;
355;;9.360.000;;;;;;;;;;;
357;;9.720.000;;;;;;;;;;;
359;;10.080.000;;;;;;;;;;;
361;;10.440.000;;;;;;;;;;;
363;;10.800.000;;;;;;;;;;;
365;;11.160.000;;;;;;;;;;;
367;;11.520.000;;;;;;;;;;;
369;;11.880.000;;;;;;;;;;;
371;;12.240.000;;;;;;;;;;;
373;;12.600.000;;;;;;;;;;;
375;;12.960.000;;;;;;;;;;;
377;;13.320.000;;;;;;;;;;;
379;;13.680.000;;;;;;;;;;;
381;;14.040.000;;;;;;;;;;;
383;;14.400.000;;;;;;;;;;;
385;;14.760.000;;;;;;;;;;;
387;;15.120.000;;;;;;;;;;;
389;;15.480.000;;;;;;;;;;;
391;;15.840.000;;;;;;;;;;;
393;;16.200.000;;;;;;;;;;;
395;;16.560.000;;;;;;;;;;;
397;;16.920.000;;;;;;;;;;;
399;;17.280.000;;;;;;;;;;;
401;;17.640.000;;;;;;;;;;;
403;;18.000.000;;;;;;;;;;;
405;;18.360.000;;;;;;;;;;;
407;;18.720.000;;;;;;;;;;;
409;;19.080.000;;;;;;;;;;;
411;;19.440.000;;;;;;;;;;;
413;;19.800.000;;;;;;;;;;;
415;;20.160.000;;;;;;;;;;;
417;;20.520.000;;;;;1;;;;;;
419;;20.880.000;;;;;;;;;;;
421;;21.240.000;;;;;;;;;;;
423;;21.600.000;;;;;;;;;;;
425;;21.960.000;;;;;;;;;;;
427;;22.320.000;;;;;;;;;;;
429;;22.680.000;;;;;;;;;;;
431;;23.040.000;;;;;;;;;;;
433;;23.400.000;;;;;;;;;;;
435;;23.760.000;;;;;;;;;;;
437;;24.120.000;;;;;;;;;;;
439;;24.480.000;;;;;;;;;;;
441;;24.840.000;;;;;;;;;;;
443;;25.200.000;;;;;;;;;;;
445;;25.560.000;;;;;;;;;;;
447;;25.920.000;;;;;;;;;;;
449;;26.280.000;;;;;;1;;;;;
451;;26.640.000;;;;;;;;;;;
453;;27.000.000;;;;;;;;;;;
455;;27.360.000;;;;;;;;;;;
457;;27.720.000;;;;;;;;;;;
459;;28.080.000;;;;;;;;;;;
461;;28.440.000;;;;;;;;;;;
463;;28.800.000;;;;;;;;;;;
465;;29.160.000;;;;;;;;;;;
467;;29.520.000;;;;;;;;;;;
469;;29.880.000;;;;;;;;;;;
471;;30.240.000;;;;;;;;;;;
473;;30.600.000;;;;;;;;;;;
475;;30.960.000;;;;;;;;;;;
477;;31.320.000;;;;;;;;;;;
479;;31.680.000;;;;;;;;;;;
481;;32.040.000;;;;;;;;;;;
483;;32.400.000;;;;;;;;;;;
485;;32.760.000;;;;;;;;;;;
487;;33.120.000;;;;;;;;;;;
489;;33.480.000;;;;;;;;;;;
491;;33.840.000;;;;;;;;;;;
493;;34.200.000;;;;;;;;;;;
495;;34.560.000;;;;;;;;;;;
497;;34.920.000;;;;;;;;;;;
499;;35.280.000;;;;;;;;;;;
501;;35.640.000;;;;;;;;;;;
503;;36.000.000;;;;;;;;;;;
505;;36.360.000;;;;;;;;;;;
507;;36.720.000;;;;;;;;;;;
509;;37.080.000;;;;;;;;;;;
511;;37.440.000;;;;;;;;;;;
513;;37.800.000;;;;;;;;;;;
515;;38.160.000;;;;;;;;;;;
517;;38.520.000;;;;;;;;;;;
519;;38.880.000;;;;;;;;;;;
